Password,Money Available,Last Name,ID,Tickets Purchased,First Name,TicketMiner Membership,Username
Fun!23,17437.56,Bass,417,0,Adam,FALSE,adambass
Fun!23,14763.23,Maldonado,296,0,Adam,TRUE,adammaldonado
Fun!23,12432.76,Disney,11,0,Aladdin,TRUE,aladdindisney
Fun!23,15158.32,Gamez,52,0,Alan,FALSE,alangamez
Fun!23,12124.41,Morris,249,0,Alejandra,FALSE,alejandramorris
Fun!23,13880.69,Vega,87,0,Alex,FALSE,alexvega
Fun!23,13140.96,Cameron,332,0,Alexander,FALSE,alexandercameron
Fun!23,16386.99,Carter,531,0,Alexander,TRUE,alexandercarter
Fun!23,13981.59,Kelly,232,0,Alexander,TRUE,alexanderkelly
Fun!23,13012.78,Wilson,850,0,Alexander,TRUE,alexanderwilson
Fun!23,10297.33,Cook,958,0,Alexandra,TRUE,alexandracook
Fun!23,12409.48,Fox,462,0,Alexandra,TRUE,alexandrafox
Fun!23,16877.36,Robinson,292,0,Alexandra,FALSE,alexandrarobinson
Fun!23,17894.14,Simpson,781,0,Alexandra,TRUE,alexandrasimpson
Fun!23,12185.28,Black,771,0,Alexis,TRUE,alexisblack
Fun!23,16471,Ford,251,0,Alexis,FALSE,alexisford
Fun!23,12149.32,Reta,75,0,Alexis,FALSE,alexisreta
Fun!23,14620.21,Shea,448,0,Alexis,FALSE,alexisshea
Fun!23,10422,Nouri,38,0,Ali,TRUE,alinouri
Fun!23,14190.92,Jenkins,384,0,Alicia,FALSE,aliciajenkins
Fun!23,15199.4,Moran,815,0,Alicia,TRUE,aliciamoran
Fun!23,16867.06,Hicks,849,0,Alison,TRUE,alisonhicks
Fun!23,17408.78,Arnold,637,0,Allen,TRUE,allenarnold
Fun!23,12500.35,Chang,275,0,Allison,TRUE,allisonchang
Fun!23,14851.77,Cross,403,0,Allison,FALSE,allisoncross
Fun!23,14918.94,Weaver,731,0,Allison,TRUE,allisonweaver
Fun!23,17696.71,Kelly,791,0,Alyssa,TRUE,alyssakelly
Fun!23,10807,Poole,674,0,Alyssa,FALSE,alyssapoole
Fun!23,12811.52,Reese,470,0,Alyssa,TRUE,alyssareese
Fun!23,10432.65,Smith,592,0,Alyssa,FALSE,alyssasmith
Fun!23,12148,Baker,1037,0,Amanda,TRUE,amandabaker
Fun!23,12650.74,Johnson,913,0,Amanda,TRUE,amandajohnson
Fun!23,10125.23,Miller,207,0,Amanda,TRUE,amandamiller
Fun!23,11508.66,Shepherd,331,0,Amanda,FALSE,amandashepherd
Fun!23,13090.33,Vang,542,0,Amanda,TRUE,amandavang
Fun!23,14845.39,Brown,359,0,Amber,TRUE,amberbrown
Fun!23,15676.81,Conley,943,0,Amber,TRUE,amberconley
Fun!23,13182.89,Long,619,0,Amber,TRUE,amberlong
Fun!23,12750,Nguyen,608,0,Amber,TRUE,ambernguyen
Fun!23,11984.62,Sellers,488,0,Amber,FALSE,ambersellers
Fun!23,10154.09,Bradley,308,0,Amy,TRUE,amybradley
Fun!23,11932.76,Chase,541,0,Amy,TRUE,amychase
Fun!23,13940.48,Fuller,968,0,Amy,TRUE,amyfuller
Fun!23,16505.94,Hall,954,0,Amy,FALSE,amyhall
Fun!23,12084.53,Mcpherson,502,0,Amy,TRUE,amymcpherson
Fun!23,10037.41,Morse,895,0,Amy,TRUE,amymorse
Fun!23,17149.43,Parsons,847,0,Amy,TRUE,amyparsons
Fun!23,10433.82,Rodriguez,476,0,Amy,TRUE,amyrodriguez
Fun!23,10372.7,Andrade,940,0,Ana,FALSE,anaandrade
Fun!23,15938.27,Ramos,899,0,Andre,TRUE,andreramos
Fun!23,14463.64,Riley,966,0,Andrea,FALSE,andreariley
Fun!23,11231.88,Atkins,695,0,Andrew,FALSE,andrewatkins
Fun!23,10197.53,Campos,236,0,Andrew,TRUE,andrewcampos
Fun!23,12842.75,Garcia,175,0,Andrew,FALSE,andrewgarcia
Fun!23,12362.56,Hall,1001,0,Andrew,FALSE,andrewhall
Fun!23,14177.11,Marshall,616,0,Andrew,FALSE,andrewmarshall
Fun!23,10854.3,Mcclure,612,0,Andrew,FALSE,andrewmcclure
Fun!23,12429.36,Norris,817,0,Andrew,TRUE,andrewnorris
Fun!23,13944.57,Parks,201,0,Andrew,FALSE,andrewparks
Fun!23,12467.31,Torres,583,0,Andrew,TRUE,andrewtorres
Fun!23,14974.77,Barber,494,0,Angel,FALSE,angelbarber
Fun!23,10090.26,Joseph,370,0,Angel,TRUE,angeljoseph
Fun!23,17124.62,Ramos,74,0,Angel,TRUE,angelramos
Fun!23,12996.59,Carney,743,0,Angela,TRUE,angelacarney
Fun!23,14084.51,English,1032,0,Angela,FALSE,angelaenglish
Fun!23,10315.71,Lang,504,0,Angela,FALSE,angelalang
Fun!23,13628.6,Mcintyre,473,0,Angela,TRUE,angelamcintyre
Fun!23,11679.24,Walker,543,0,Angela,FALSE,angelawalker
Fun!23,14467.94,Bruce,269,0,Angelica,TRUE,angelicabruce
Fun!23,11724.56,Fletcher,752,0,Anita,TRUE,anitafletcher
Fun!23,12719.55,Stein,404,0,Anita,TRUE,anitastein
Fun!23,12446.56,Miller,687,0,Ann,FALSE,annmiller
Fun!23,17965.81,Rogers,819,0,Ann,TRUE,annrogers
Fun!23,17852.37,Davis,684,0,Anna,FALSE,annadavis
Fun!23,13907.06,Gutierrez,238,0,Anna,TRUE,annagutierrez
Fun!23,12139.82,Adams,712,0,Anthony,TRUE,anthonyadams
Fun!23,17105.98,Barber,594,0,Anthony,FALSE,anthonybarber
Fun!23,12287.73,Brooks,593,0,Anthony,TRUE,anthonybrooks
Fun!23,13699.01,Byrd,978,0,Anthony,TRUE,anthonybyrd
Fun!23,14456.5,Carson,624,0,Anthony,TRUE,anthonycarson
Fun!23,13373.01,Dalton,460,0,Anthony,FALSE,anthonydalton
Fun!23,10084.9,Hardin,389,0,Anthony,FALSE,anthonyhardin
Fun!23,10505.54,Hunter,420,0,Anthony,FALSE,anthonyhunter
Fun!23,15444.9,Kramer,906,0,Anthony,TRUE,anthonykramer
Fun!23,17885.4,Moore,659,0,Anthony,FALSE,anthonymoore
Fun!23,16005.59,Sanchez,167,0,Anthony,FALSE,anthonysanchez
Fun!23,14164.62,Sims,395,0,Anthony,TRUE,anthonysims
Fun!23,11728.93,Brooks,360,0,Antonio,TRUE,antoniobrooks
Fun!23,17389.79,Edwards,604,0,Antonio,FALSE,antonioedwards
Fun!23,11223.36,Lopez,914,0,April,TRUE,aprillopez
Fun!23,11792.6,Turner,439,0,April,TRUE,aprilturner
Fun!23,16625.15,Lara,225,0,Ariana,FALSE,arianalara
Fun!23,13789.95,Disney,9,0,Ariel,FALSE,arieldisney
Fun!23,16918.5,Cabrera,47,0,Armando,TRUE,armandocabrera
Fun!23,10485.55,Evans,147,0,Ashley,TRUE,ashleyevans
Fun!23,15801.57,Frye,946,0,Ashley,TRUE,ashleyfrye
Fun!23,14337.54,Gilmore,55,0,Ashley,TRUE,ashleygilmore
Fun!23,12393.55,Jones,242,0,Ashley,TRUE,ashleyjones
Fun!23,13210.93,Morales,960,0,Ashley,TRUE,ashleymorales
Fun!23,10575.24,Romero,139,0,Ashley,FALSE,ashleyromero
Fun!23,13415.31,Walker,672,0,Ashley,TRUE,ashleywalker
Fun!23,16996.86,Wilcox,402,0,Ashley,TRUE,ashleywilcox
Fun!23,13647.87,Disney,14,0,Aurora,TRUE,auroradisney
Fun!23,10094.97,Griffin,105,0,Austin,FALSE,austingriffin
Fun!23,16316.21,Lewis,1013,0,Austin,FALSE,austinlewis
Fun!23,13059.45,Jones,469,0,Barbara,TRUE,barbarajones
Fun!23,10622.06,Lane,566,0,Barbara,FALSE,barbaralane
Fun!23,13854.8,Love,896,0,Barbara,FALSE,barbaralove
Fun!23,15772.67,Robertson,252,0,Barbara,FALSE,barbararobertson
Fun!23,11908.6,Disney,20,0,Beast,FALSE,beastdisney
Fun!23,11765.52,Gray,431,0,Becky,FALSE,beckygray
Fun!23,11547.02,Simpson,957,0,Becky,FALSE,beckysimpson
Fun!23,14526.08,Disney,21,0,Belle,FALSE,belledisney
Fun!23,13709.79,Johnson,346,0,Benjamin,TRUE,benjaminjohnson
Fun!23,16940.37,Ramirez,397,0,Benjamin,TRUE,benjaminramirez
Fun!23,14879.77,Moss,1009,0,Beth,TRUE,bethmoss
Fun!23,12746.75,Sharp,634,0,Beth,TRUE,bethsharp
Fun!23,11758.23,Johnson,120,0,Beverly,TRUE,beverlyjohnson
Fun!23,14609.62,Bennett,515,0,Bobby,TRUE,bobbybennett
Fun!23,13201.5,Gonzales,558,0,Bobby,FALSE,bobbygonzales
Fun!23,11129.51,Patel,91,0,Brad,TRUE,bradpatel
Fun!23,10810.68,Bell,575,0,Bradley,FALSE,bradleybell
Fun!23,15528.7,Rodriguez,302,0,Bradley,TRUE,bradleyrodriguez
Fun!23,17947.22,Daniel,813,0,Brandi,TRUE,brandidaniel
Fun!23,10282.81,Gordon,482,0,Brandi,TRUE,brandigordon
Fun!23,11445.52,Dillon,572,0,Brandon,FALSE,brandondillon
Fun!23,10088.94,Flores,658,0,Brandon,TRUE,brandonflores
Fun!23,17647.68,Miller,861,0,Brandon,TRUE,brandonmiller
Fun!23,11917.43,Neal,424,0,Brandon,TRUE,brandonneal
Fun!23,11867.92,Smith,444,0,Brandon,FALSE,brandonsmith
Fun!23,12126.37,Valenzuela,545,0,Brandy,TRUE,brandyvalenzuela
Fun!23,10827.62,Wilkerson,768,0,Brandy,FALSE,brandywilkerson
Fun!23,10836.5,Douglas,316,0,Brenda,FALSE,brendadouglas
Fun!23,15778.18,Phillips,910,0,Brendan,TRUE,brendanphillips
Fun!23,16052,Higgins,879,0,Brett,TRUE,bretthiggins
Fun!23,10424.94,Mathis,945,0,Brett,FALSE,brettmathis
Fun!23,11851.8,Wallace,880,0,Brett,TRUE,brettwallace
Fun!23,17386.46,Andrews,124,0,Brian,FALSE,brianandrews
Fun!23,13196.53,Castillo,262,0,Brian,FALSE,briancastillo
Fun!23,13493.54,Gates,602,0,Brian,TRUE,briangates
Fun!23,17972.12,Hayes,343,0,Brian,FALSE,brianhayes
Fun!23,17252.7,Jacobson,319,0,Brian,FALSE,brianjacobson
Fun!23,11432.41,Jensen,210,0,Brian,TRUE,brianjensen
Fun!23,14649.44,Lopez,472,0,Brian,FALSE,brianlopez
Fun!23,10762,Rojas,757,0,Brian,TRUE,brianrojas
Fun!23,13857.07,Wagner,214,0,Bridget,TRUE,bridgetwagner
Fun!23,16596.09,Andrews,94,0,Brittany,FALSE,brittanyandrews
Fun!23,16953.94,Hawkins,119,0,Brittany,FALSE,brittanyhawkins
Fun!23,11738.97,Nielsen,497,0,Brittany,FALSE,brittanynielsen
Fun!23,16680.26,Ray,228,0,Brittany,TRUE,brittanyray
Fun!23,17523.24,Richard,667,0,Brittany,TRUE,brittanyrichard
Fun!23,13382.39,Weaver,555,0,Brittany,FALSE,brittanyweaver
Fun!23,14169.88,Daniel,748,0,Brittney,FALSE,brittneydaniel
Fun!23,12549.1,Maxwell,1034,0,Brooke,FALSE,brookemaxwell
Fun!23,10744.74,Padilla,255,0,Brooke,TRUE,brookepadilla
Fun!23,14549.93,Clark,499,0,Bruce,TRUE,bruceclark
Fun!23,12638.72,Roque,77,0,Bruno,TRUE,brunoroque
Fun!23,13580.5,Fields,775,0,Bryan,FALSE,bryanfields
Fun!23,11541.36,Hardy,326,0,Bryan,FALSE,bryanhardy
Fun!23,15956.3,Massey,1021,0,Bryan,FALSE,bryanmassey
Fun!23,11665.17,Wise,870,0,Bryan,FALSE,bryanwise
Fun!23,13215.99,Lightyear,17,0,Buzz,FALSE,buzzlightyear
Fun!23,16010.86,Hook,27,0,Captaiin,TRUE,captaiinhook
Fun!23,15603.35,Foley,689,0,Carl,FALSE,carlfoley
Fun!23,12696.6,Irwin,907,0,Carlos,TRUE,carlosirwin
Fun!23,12578.29,Lynch,1012,0,Carlos,TRUE,carloslynch
Fun!23,14841.46,Ortega,68,0,Carlos,FALSE,carlosortega
Fun!23,12795.64,Hays,720,0,Carmen,FALSE,carmenhays
Fun!23,12254.99,Petersen,987,0,Carmen,TRUE,carmenpetersen
Fun!23,14552.64,Elliott,938,0,Carol,TRUE,carolelliott
Fun!23,16860.73,Torres,345,0,Caroline,TRUE,carolinetorres
Fun!23,15647.53,Dunn,875,0,Carolyn,TRUE,carolyndunn
Fun!23,13101.04,Bennett,368,0,Carrie,TRUE,carriebennett
Fun!23,12274.73,Navarro,811,0,Casey,TRUE,caseynavarro
Fun!23,14154.41,Cook,580,0,Cassandra,TRUE,cassandracook
Fun!23,13457.72,Mann,760,0,Catherine,FALSE,catherinemann
Fun!23,16789.48,Jones,218,0,Cesar,FALSE,cesarjones
Fun!23,16072.08,Clark,573,0,Chad,FALSE,chadclark
Fun!23,17862.27,Green,821,0,Chad,FALSE,chadgreen
Fun!23,17574.53,Chambers,1010,0,Charles,TRUE,charleschambers
Fun!23,12499.66,Miller,216,0,Chase,TRUE,chasemiller
Fun!23,13797.57,Gallagher,108,0,Chelsea,TRUE,chelseagallagher
Fun!23,14444.69,Porter,336,0,Chelsea,FALSE,chelseaporter
Fun!23,16601.02,Wilson,324,0,Cheryl,TRUE,cherylwilson
Fun!23,15776.95,Disney,6,0,Chip,TRUE,chipdisney
Fun!23,10130.6,Holden,259,0,Chris,TRUE,chrisholden
Fun!23,10764.18,Jones,570,0,Chris,FALSE,chrisjones
Fun!23,15812.39,King,285,0,Chris,FALSE,chrisking
Fun!23,15739.48,Ellis,866,0,Christian,FALSE,christianellis
Fun!23,12025.97,Gomez,56,0,Christian,TRUE,christiangomez
Fun!23,16242.54,Smith,223,0,Christian,TRUE,christiansmith
Fun!23,10230.41,Carter,902,0,Christina,FALSE,christinacarter
Fun!23,11990.38,Dodson,694,0,Christina,FALSE,christinadodson
Fun!23,14756.33,Jones,591,0,Christina,FALSE,christinajones
Fun!23,14126.47,Villanueva,882,0,Christina,FALSE,christinavillanueva
Fun!23,14979.76,Walker,169,0,Christina,FALSE,christinawalker
Fun!23,12222.4,Wheeler,347,0,Christina,TRUE,christinawheeler
Fun!23,11955.54,Ellis,690,0,Christine,FALSE,christineellis
Fun!23,10671.47,Berry,962,0,Christopher,TRUE,christopherberry
